Loại hình	Quận/Huyện	Phòng ngủ	Phòng tắm	Diện tích	Diện tích sử dụng	Tình hình nội thất	Loại chủ quyền	Dự án	Tháp	Trạng thái	Giá bán	Ban công	Phòng cho giúp việc	Sân vườn	Phòng giải trí	Chỗ đậu xe hơi	Hồ bơi riêng	Quầy minibar	Tầng hầm	Số tầng	Góc làm việc	Thời gian Xây dựng	Nhà kho	Nuôi thú cưng	Mục đích sử dụng	Thời gian bắt đầu bán	Mã nhà đất	Giá đăng	Loại hình nhà đất	Số phòng ngủ	Số phòng tắm	Gym	Bàn ghế phòng khách	Chiều dài	Chiều rộng	Diện tích sàn	TV	Máy hút mùi	Kệ TV	Cảm biến cháy	Tủ lạnh
Căn hộ	Bình Thạnh	1	1	38 m²		Đầy đủ nội thất		RiverGate Residence			2.8 tỷ	No	No	No	No	Yes	Yes	No	No		Yes		No		để ở	27/02/2018															
Căn hộ	Quận 8	2	2	69 m²	63 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.02		2.7 tỷ	No	No	No	No	No	No	No	No		No																				
	Quận 11																										MBY5956	3.5 tỷ	Căn hộ												
Căn hộ	Quận 7	1	1	53.2 m²	53.2 m²	Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	SATURN	Chưa bàn giao	1.81 tỷ	No	No	No	No	No	No	No		25																					
Nhà phố	Nhà Bè	3	2	47.1 m²	94.2 m²	Nội thất cơ bản	Sổ hồng				4.5 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Quận 7	1	1	53 m²		Không có nội thất		Q7 Saigon Riverside		Chưa bàn giao	2.01 tỷ	No	No	No	No	No	No	No	No	28	No		No																		
	Thủ Đức			70.72																							MCB6179	1.68 tỷ	Căn hộ	2	2										
Nhà phố	Quận 7	2	3	74 m²	122 m²	Không có nội thất					6.2 tỷ	No	No	No	No	No	No	No	No	3	No		No	No																	
Căn hộ	Bình Thạnh	2	2	76 m²		Không có nội thất		The Sun Avenue			3.6 tỷ	Yes	No	No	No	Yes	Yes	No	Yes		No		No	Yes		29/07/2019															
Căn hộ	Quận 9	3	2	135 m²	135 m²	Đầy đủ nội thất	Sổ hồng	Happy Valley	BLOCK K		5.9 tỷ	No	No	No	No	No	No	No	No	17																					
Căn hộ	Quận 9	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.05		2.2 tỷ	No	No	No	No	No	No	No	No		No																				
Office-tel	Bình Thạnh	1	1	51 m²	46.6 m²	Đầy đủ nội thất	HĐ mua bán	The Sun Avenue	Block 8		3.1 tỷ	No	No	No	No	No	No	No	No	5																					
Căn hộ	Quận 9	2	2	71 m²	71 m²	Không có nội thất	HĐ mua bán	Saigon South Residence			2.9 tỷ	No	No	No	No	No	No	No	No		No					14/07/2020															
Căn hộ	Bình Thạnh	3	2	118.5 m²	118.5 m²	Đầy đủ nội thất	HĐ mua bán	Vinhomes Golden River	The Aqua 2		20 tỷ	No	No	No	No	No	No	No	No		No																				
Biệt thự	Quận 2			99.9 m²	450 m²	Nội thất cơ bản	Sổ hồng				23 tỷ	No	No	No	No	No	No	No	No	2	No													17 m	8 m	292.4 m²					
Căn hộ	Quận 7	2	2	69 m²	63.5 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S3.03		3.25 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 9	2	2	71 m²	65 m²	Không có nội thất	HĐ mua bán	Saigon South Residence			2.9 tỷ	No	No	No	No	No	No	No	No		No					23/09/2020															
Căn hộ	Quận 9	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S2.02		2.1 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Bình Thạnh	3	2	99 m²	99 m²	Đầy đủ nội thất	Sổ hồng	Happy Valley	BLOCK A		5.8 tỷ	No	No	No	No	No	No	No	No	16																					
Căn hộ	Quận 7	2	2	68.78 m²	67.78 m²	Nội thất cơ bản	HĐ mua bán	Diamond Riverside	B		2.51 tỷ	No	No	No	No	No	No	No	No	11																					
Căn hộ	Quận 7	2	2	68.68 m²	68.68 m²	Đầy đủ nội thất	HĐ mua bán	The Pegasuite 1			2.87 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 9	2	1	58.9 m²	54.6 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Grand Park	S2.03		2.15 tỷ	No	No	No	No	No	No	No	No	15																					
Nhà phố	Quận 7	2	1	107.6 m²	107.6 m²	Không có nội thất	Sổ hồng				4.3 tỷ	No	No	No	No	No	No	No	No	1	No		No																		
Căn hộ	Quận 2	2	2	90 m²	90 m²	Đầy đủ nội thất	HĐ mua bán	Đảo Kim Cương - Diamond Island	Maldives	Chưa bàn giao	7 tỷ	No	No	No	No	No	No	No		6																					
Nhà phố	Quận 7	3	3	47 m²	141 m²	Nội thất cơ bản	Sổ hồng				6.1 tỷ	No	No	No	No	No	No	No	No	3	No		No																		
Biệt thự	Quận 2										26.2 tỷ	No	Yes	No	No	Yes	No	No	Yes		No		Yes	No								No		25 m	10 m	740 m²	No	No			
Căn hộ	Quận 12	2	2	54.25 m²	54.25 m²	Nội thất cơ bản	HĐ mua bán	West Gate Park	A	Chưa bàn giao	2.12 tỷ	No	No	No	No	No	No	No		12																					
Nhà phố	Quận 2	3	3	80 m²	230 m²	Nội thất cơ bản	Sổ hồng				5.1 tỷ	No	No	No	No	No	No	No	No	3	No		No																		
Căn hộ	Quận 2	3	2	83 m²		Đầy đủ nội thất		The Sun Avenue	Block 5		4.5 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 9	2	1	46.7 m²	43.3 m²	Không có nội thất		Vinhomes Grand Park	S10	Chưa bàn giao	2.31 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 4	2	2	80 m²		Đầy đủ nội thất		Vinhomes Central Park			7 tỷ	Yes	No	No	No	No	No	No	Yes		No		No	No		06/04/2019															
Căn hộ	Quận 9	2	2	68 m²	68 m²	Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	VENUS	Chưa bàn giao	2.41 tỷ	No	No	No	No	No	No	No	No																						
Căn hộ	Quận 9	1	1	46 m²	42 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S3.02		2.1 tỷ	No	No	No	No	No	No	No		21						02/11/2020															
Căn hộ	Quận 9	2	1	47 m²	43.9 m²	Không có nội thất		Vinhomes Grand Park	S10	Chưa bàn giao	2.4 tỷ	No	No	No	No	No	No	No	No	5																					
Căn hộ	Quận 2	2	2	89.1 m²		Đầy đủ nội thất		Vista Verde			5.1 tỷ	Yes	No	No	No	Yes	Yes	No	No		No		No	No		14/03/2019															
Căn hộ	Quận 8	2	2	75 m²	75 m²	Đầy đủ nội thất					2.95 tỷ	No	No	No	No	No	No	No	No	14	No		No	No																	
Căn hộ	Bình Chánh	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S2.01		2.65 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 8	1	1	49 m²	49 m²	Không có nội thất	Sổ hồng				1.3 tỷ	No	No	No	No	No	No	No	No	10	No		No																		
Căn hộ	Bình Chánh	3	2	81 m²	81 m²	Nội thất cơ bản		KHU CHUNG CƯ PHÚC THỊNH			2.95 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Văn phòng	Quận 9			40 m²	36.6 m²	Nội thất cơ bản	HĐ mua bán		Block 5		2.2 tỷ	No	No	No	No	No	No	No	No		No		No	No								No									
Căn hộ	Bình Thạnh	2	2	77 m²	71 m²	Nội thất cơ bản	HĐ mua bán	Sunshine City Sài Gòn	S4	Chưa bàn giao	5.4 tỷ	No	No	No	No	No	No			17						02/11/2020															
Căn hộ	Quận 2	2	2	77 m²	73 m²	Không có nội thất	HĐ mua bán	Topaz Elite	Dragon 2		2.65 tỷ	No	No	No	No	No	No	No		27						16/11/2020															
Căn hộ	Quận 9	1	1	30 m²	27 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S1.03		1.26 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 1	2	2	65 m²		Nội thất cơ bản	HĐ mua bán	Kingdom 101	Block A	Chưa bàn giao	6 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 2	2	2	60 m²		Đầy đủ nội thất	HĐ mua bán	Masteri Thảo Điền			3.3 tỷ	Yes	No	No	Yes	Yes	Yes	No	No		Yes				để ở hoặc cho thuê	08/08/2017															
Office-tel	Quận 7	2	2	68.9 m²	62.4 m²	Nội thất cơ bản	HĐ mua bán	Sunshine City Sài Gòn	S1	Chưa bàn giao	3.5 tỷ	No	No	No	No	No	No			10						24/10/2020															
Căn hộ	Bình Chánh	3	3	100 m²	100 m²	Đầy đủ nội thất	HĐ mua bán	La Astoria	La Astoria 1		2.8 tỷ	No	No	No	No	No	No	No	No	12																					
Căn hộ	Quận 10	2	2	76 m²	76 m²	Nội thất cơ bản	HĐ mua bán	One Verandah			5.3 tỷ	No	No	No	No	No	No	No	No		No		No																		
Căn hộ	Quận 2	2	2	68.5 m²	64.5 m²	Nội thất cơ bản	HĐ mua bán	D'Lusso	Block B	Chưa bàn giao	3.76 tỷ	No	No	No	No	No	No	No		4																					
Nhà phố	Quận 4	2	1	45 m²	78 m²	Đầy đủ nội thất	Sổ đỏ				4.7 tỷ	No	No	No	No	No	No	No	No	1	Yes		No																		
Căn hộ	Quận 7	1	1	53.2 m²	53.2 m²	Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	MERCURY	Chưa bàn giao	2.2 tỷ	No	No	No	No	No	No	No		5																					
Căn hộ	Quận 2	2	2	77.2 m²	77.2 m²	Đầy đủ nội thất		Scenic Valley			4.2 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 9	1	1	45.08 m²	45.08 m²	Đầy đủ nội thất	Sổ hồng	Chung cư B5			2.2 tỷ	No	No	No	No	No	No	No	No	9	No																				
Căn hộ	Quận 2	2	1	102 m²	102 m²	Đầy đủ nội thất	HĐ mua bán	Feliz en Vista	Berdaz	Chưa bàn giao	6 tỷ	No	No	No	No	No	No	No		12																					
Căn hộ	Quận 7	1	1	53.2 m²		Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	SATURN	Chưa bàn giao	2.11 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 2	2	2	66.6 m²		Nội thất cơ bản	HĐ mua bán	Q7 Saigon Riverside	URANUS	Chưa bàn giao	2.23 tỷ	No	No	No	No	No	No	No	No	22																					
Căn hộ	Bình Thạnh	2	2	75.1 m²		Đầy đủ nội thất		Vinhomes Central Park			5.5 tỷ	Yes	No	No	Yes	Yes	Yes	No	No		Yes		No		Ở	30/05/2018															
Căn hộ	Quận 7	2	2	71.1 m²		Không có nội thất		Opal Riverside			2.1 tỷ	Yes	No	No	No	Yes	Yes	No	No		No		No		Ở	14/04/2018															
Căn hộ	Bình Chánh	3	2	85 m²	85 m²	Không có nội thất	HĐ mua bán	Topaz Elite	Phoenix 1		3 tỷ	No	No	No	No	No	No	No	No							08/12/2020															
Nhà phố	Quận 9	3	3	84.9 m²	119.9 m²	Đầy đủ nội thất	Sổ hồng				7.5 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Quận 12	2	1	55 m²	50 m²		HĐ mua bán	River Panorama			2.2 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Quận 8	2	2	69 m²	63 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Grand Park	S1.07		2.7 tỷ	No	No	No	No	No	No	No	No		No																				
Căn hộ	Quận 9	3	2	83.42 m²		Không có nội thất		Sunrise Riverside			3.2 tỷ	No	No	No	No	No	No	No	No	12	No		No	No																	
Căn hộ	Quận 4	2	2	62.4 m²		Không có nội thất	HĐ mua bán	Vinhomes Central Park			4.4 tỷ	Yes	No	No	No	Yes	Yes	No	No		No				Để ở hoặc cho thuê	04/04/2017															
Căn hộ	Quận 7	3	2	96 m²	96 m²	Đầy đủ nội thất		The Sun Avenue			4.6 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
Căn hộ	Nhà Bè	3	2	83 m²		Nội thất cơ bản	HĐ mua bán	Saigon Mia			4 tỷ	No	No	No	No	No	No	No	No	17	No		No																		
Nhà phố	Quận 7	2	2	55 m²	119 m²	Không có nội thất	Sổ hồng				3.55 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Quận 7	1	1	52 m²	52 m²	Nội thất cơ bản		Vinhomes Grand Park			1.8 tỷ	No	No	No	No	No	No	No	No	4	No		No																		
Căn hộ	Quận 7	2	1	59 m²	54 m²	Không có nội thất	HĐ mua bán	Vinhomes Grand Park	S5.01		2.37 tỷ	No	No	No	No	No	No	No	No		No																				
Nhà phố	Quận 1	2	2	134.7 m²	115 m²	Nội thất cơ bản	Sổ hồng				13 tỷ	No	No	No	No	No	No	No	No	1	No		No																		
Căn hộ	Quận 7	3	3	104.03 m²	96.67 m²	Không có nội thất		Saigon South Residence			4.62 tỷ	No	No	No	No	No	No	No	No		No		No	No																	
	Tân Phú			32																							MCE2752	4.88 tỷ	Nhà phố	5	4										
Nhà phố	Quận 8	2	2	50.57 m²	91.26 m²	Nội thất cơ bản	Sổ hồng				4.3 tỷ	No	No	No	No	No	No	No	No	2	No		No																		
Căn hộ	Gò Vấp	2	1	56 m²	56 m²	Nội thất cơ bản	HĐ mua bán	Saigon Gateway	Block A		2 tỷ	No	No	No	No	No	No	No	No	24																					
Căn hộ	Quận 7	2	1	48 m²	45 m²	Nội thất cơ bản	Sổ hồng	Jamila Khang Điền	Block C	Chưa bàn giao	2.8 tỷ	No	No	No	No	No	No	No	No																						
Căn hộ	Quận 7	1	1	44 m²		Đầy đủ nội thất	Sổ hồng				1.4 tỷ	No	No	No	No	No	No	No	No		No		No	No								No									
Căn hộ	Bình Thạnh	3	2	109 m²		Không có nội thất		Vinhomes Central Park			5.9 tỷ	Yes	No	No	No	Yes	Yes	No	No		Yes		No		để ở	09/11/2017															
Căn hộ	Quận 4	2	2	72.19 m²	72.19 m²	Nội thất cơ bản	HĐ mua bán	Diamond Riverside	D		2.32 tỷ	No	No	No	No	No	No	No	No	4																					
Căn hộ	Quận 1	2	2	72 m²	72 m²	Đầy đủ nội thất		Terra Royal			7.5 tỷ	No	No	No	No	No	No	No	No	16	No		No																		
	Bình Thạnh																										MCE5089	3.43 tỷ	Căn hộ												
Căn hộ	Quận 2	2	2	65.55 m²	59.56 m²	Nội thất cơ bản	HĐ mua bán	Eco Green Sài Gòn	HR2	Chưa bàn giao	3.35 tỷ	No	No	No	No	No	No	No		36																					
Căn hộ	Quận 8	3	2	99 m²	99 m²	Đầy đủ nội thất		Thái An Apartment			3.25 tỷ	No	No	No	No	No	No	No	No	5	No		No																		
Căn hộ	Quận 9	1	1	30.1 m²	26.3 m²	Nội thất cơ bản	HĐ mua bán	Vinhomes Grand Park	S1.02		1.26 tỷ	No	No	No	No	No	No	No	No		No																				
