	URL
150	https://rever.vn/mua/can-ho-bau-cat-ii-tang-cao-cua-chinh-huong-bac-noi-that-co-ban
151	https://rever.vn/mua/nha-pho-mat-tien-quan-8-thuan-tien-kinh-doanh-buon-ban
152	https://rever.vn/mua/can-ho-diamond-island-tang-trung-view-noi-khu-ho-boi-thoang-dang
153	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-cao-view-thanh-pho-thoang-mat
154	https://rever.vn/mua/ban-can-ho-the-sun-avenue-2pn-dien-tich-73m2-day-du-noi-that-view-landmark-81
155	https://rever.vn/mua/nha-pho-go-vap-1-tret-1-lau-dien-tich-62m2-khong-co-noi-that
156	https://rever.vn/mua/can-ho-belleza-apartment-day-du-noi-that-don-view-thoang-mat
157	https://rever.vn/mua/nha-pho-gan-aeon-mall-huong-dong-bac-hem-xe-hoi
158	https://rever.vn/mua/ban-nha-pho-hem-ly-thai-to-phuong-1-quan-3-dien-tich-dat-19-5m2-dien-tich-san-65-9m2
159	https://rever.vn/mua/can-ho-sunrise-riverside-tang-cao-view-cong-vien-day-du-noi-that
160	https://rever.vn/mua/mls-can-ho-office-tel-sky-9-co-tang-lung-ban-giao-noi-that-co-ban
161	https://rever.vn/mua/can-ho-tang-03-opal-boulevard-ban-cong-huong-tay-nam-thoang-gio
162	https://rever.vn/mua/can-ho-vinhomes-central-park-2-phong-ngu-tang-cao-p7-noi-that-co-ban
163	https://rever.vn/mua/nha-pho-huong-dong-bac-ngay-mat-tien-thuan-tien-kinh-doanh
164	https://rever.vn/mua/can-ho-tang-trung-topaz-elite-voi-view-thanh-pho-sam-uat
165	https://rever.vn/mua/can-ho-day-du-noi-that-lexington-residence-view-thoang-mat
166	https://rever.vn/mua/can-ho-huong-dong-bac-topaz-elite-tang-cao-don-gio
167	https://rever.vn/mua/can-ho-flora-fuji-tang-trung-view-noi-khu-day-du-noi-that
168	https://rever.vn/mua/can-ho-tang-11-citigrand-ban-giao-noi-that-co-ban-huong-tay-bac
169	https://rever.vn/mua/can-ho-moonlight-park-view-huong-dong-nam-noi-that-co-ban
170	https://rever.vn/mua/nha-pho-hem-2m-huong-bac-so-hong-rieng-da-hoan-cong
171	https://rever.vn/mua/can-ho-nassim-thao-dien-tang-trung-view-thanh-pho
172	https://rever.vn/mua/ban-can-ho-q7-boulevard-tang-trung-2-phong-ngu-dien-tich-57m2-ban-cong-huong-tay
173	https://rever.vn/mua/mls-can-ho-thu-thiem-sky-thiet-ke-hien-dai-noi-that-day-du
174	https://rever.vn/mua/can-ho-lexington-residence-2-phong-ngu-tang-trung-ld-noi-that-day-du
175	https://rever.vn/mua/can-ho-officetel-the-sun-avenue-tang-trung-don-view-thanh-pho
176	https://rever.vn/mua/nha-xuong-kho-bai-dien-tich-838m2-hem-xe-tai-rong-rai
177	https://rever.vn/mua/can-ho-vinhomes-grand-park-nhin-phia-noi-khu-tang-cao-don-gio
178	https://rever.vn/mua/can-ho-tang-12a-city-gate-3-noi-that-co-ban
179	https://rever.vn/mua/can-ho-saigon-intela-tang-cao-ban-cong-huong-nam
180	https://rever.vn/mua/can-ho-park-legend-tang-trung-view-thanh-pho-lung-linh-ve-dem
